Product_Id,title,price,brand,department,store,date
1626973,Elote en Lata 432 gr,$15.00,HCF,Abarrotes,HEB,05/07/2022
1631836,Pure de Tomate Condimentado 345 gr,$8.00,DEL FUERTE,Abarrotes,HEB,05/07/2022
1771042,Pan de Barra Integral Grande 680 gr,$45.00,BIMBO,Abarrotes,HEB,05/07/2022
1703458,Pan de Barra Trigo Entero 680 gr,$53.50,HEB ESSENTIAL GRAINS,Abarrotes,HEB,05/07/2022
1770532,Pan Molido Clasico 210 gr,$25.00,BIMBO,Abarrotes,HEB,05/07/2022
1632436,Atun en Agua 140 gr,$15.00,MI TIENDA,Abarrotes,HEB,05/07/2022
1689841,Catsup Squeeze 397 gr,$24.00,HEINZ,Abarrotes,HEB,05/07/2022
1777711,Pan 45 Calorias Delightfull 45 Calories 567 gr,$59.00,SARA LEE,Abarrotes,HEB,05/07/2022
1637197,Pasta Fideo Mediano 200 gr,$7.90,YEMINA,Abarrotes,HEB,05/07/2022
1643935,Elote en Lata 225 gr,$10.00,DEL MONTE,Abarrotes,HEB,05/07/2022
1770583,Pan de Barra Integral 567 gr,$67.50,NATURES OWN,Abarrotes,HEB,05/07/2022
1634521,Elote en Lata 220 gr,$11.00,HERDEZ,Abarrotes,HEB,05/07/2022
1646515,Atun Pouch Agua 74 gr,$21.50,MARINA AZUL,Abarrotes,HEB,05/07/2022
1696927,Frijoles Refritos Bayos 400 gr,$11.90,LA SIERRA,Abarrotes,HEB,05/07/2022
1792561,Pasta Spaghetti Grande 200 gr,$7.50,BARILLA,Abarrotes,HEB,05/07/2022
2098783,Galleta Chokis 399 gr,$56.50,GAMESA,Abarrotes,HEB,05/07/2022
1636069,Pan Molido Crujiente 175 gr,$25.00,BIMBO,Abarrotes,HEB,05/07/2022
1630021,Azucar Estandar 2kg 2 kg,$56.50,HCF,Abarrotes,HEB,05/07/2022
1730122,Frijol Pinto 900 gr,$42.90,VERDE VALLE,Abarrotes,HEB,05/07/2022
1640611,Atún en Agua 130 G 130 gr,$21.00,HERDEZ,Abarrotes,HEB,05/07/2022
1894753,Tortilla Amarilla 50 pz,$29.00,DELGADITAS,Abarrotes,HEB,05/07/2022
1743907,Atun Pouch Agua 78 gr,$21.50,DOLORES,Abarrotes,HEB,05/07/2022
1792765,Galletas Chocolatines 294 gr,$48.00,GAMESA,Abarrotes,HEB,05/07/2022
1628323,Sopa Fideo 95 gr,$14.00,KNORR,Abarrotes,HEB,05/07/2022
1788196,Galletas Marias 170 gr,$15.00,GAMESA,Abarrotes,HEB,05/07/2022
1796209,Pure de Tomate Sazonado 210 gr,$8.00,DEL FUERTE,Abarrotes,HEB,05/07/2022
1836643,Frijoles Refritos Negros 400 gr,$15.90,ISADORA,Abarrotes,HEB,05/07/2022
1657417,Frijoles Bayos Refritos 430 gr,$16.90,ISADORA,Abarrotes,HEB,05/07/2022
1770595,Pan de Barra Integral Trigo y Miel 567 gr,$67.50,NATURES OWN,Abarrotes,HEB,05/07/2022
2236126,Galleta Principe Chocolate 315 gr,$34.50,MARINELA,Abarrotes,HEB,05/07/2022
1639447,Tortillas de Maiz Blanca 800 gr,$24.00,LA LUZ,Abarrotes,HEB,05/07/2022
